Source,Target,Weight
344,954,1
345,395,1
345,544,1
345,925,1
346,458,1
346,514,1
346,910,1
347,597,1
347,633,1
347,642,1
347,883,1
348,438,1
348,715,1
348,932,1
348,946,1
348,960,1
348,973,1
349,383,1
349,400,1
349,436,1
349,703,1
349,799,1
349,950,1
349,990,1
350,359,1
350,393,1
350,399,1
350,478,1
350,979,1
351,517,1
351,626,1
351,633,1
351,651,1
351,883,1
352,630,1
353,395,1
353,593,1
354,672,1
354,725,1
354,858,1
354,926,1
355,681,1
355,711,1
356,721,1
356,781,1
357,393,1
357,413,1
357,478,1
357,718,1
357,917,1
358,439,1
358,576,1
358,880,1
359,469,1
359,649,1
359,696,1
359,712,1
360,463,1
360,527,1
360,665,1
360,666,1
360,845,1
361,470,1
361,655,1
361,762,1
361,859,1
362,846,1
